contributor_state,total
CA,181802.2
FL,134895.08000000002
TX,87605.89
CT,41500
TN,38700
GA,34900
MO,31750
NV,30400
NY,24520
IL,20050
AR,20000
MA,12518.75
NE,10300
MT,10000
VA,6718
IN,4800
DC,586
DE,250
KY,250
MD,250
MI,250
NJ,250
NC,60
