expenditure_date,committee_name,expense_category,payee_name,address,payee_type,amount,expense_purpose
2022-05-30,Ali  Saqib Friends of,Media,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,26.08,Online Advertising
2022-05-30,Ali  Saqib Friends of,Media,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,27.62,Online Advertising
2021-06-08,Amaya  Ruben Friends of,Media,Mailchimp,675 Ponce de Leon Ave NE  Suite 500  Atlanta  Georgia 30308,Business/Group/Organization,10.59,Media - Website Development
2021-07-08,Amaya  Ruben Friends of,Media,Mailchimp,675 Ponce de Leon Ave NE  Suite 500  Atlanta  Georgia 30308,Business/Group/Organization,10.59,Media - Website Development
2021-01-25,Jennings  J. B. Friends Of,Media,GoDaddy.com,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,128.2,Media - Website Development
2021-01-26,Jennings  J. B. Friends Of,Media,Ronald Rowley,1238 Ramblewood Road  Baltimore  Maryland 21239,Individual,300,Media - Website Development
2021-01-29,Jennings  J. B. Friends Of,Media,The Business Journals,120 W. Morehead Street  Suite 400  Charlotte  North Carolina 28202,Business/Group/Organization,125,Newspaper
2021-06-01,Glassman  Barry Friends Of,Media,Facebook  Inc,1 Facebook Way  Menlo Park  California 94025,Business/Group/Organization,50.87,Online Advertising
2021-10-29,Munoz  Rachel Friends of,Media,Republican State Central Committee of Anne Arundel County,PO Box 6494  Annapolis  Maryland 21401,Business/Group/Organization,150,Book/Brochure Advertising
2021-11-15,Munoz  Rachel Friends of,Media,Squarespace,225 Varick Street  12th Floor  NY  New York 10014,Business/Group/Organization,6.36,Media - Website Development
2021-12-04,Munoz  Rachel Friends of,Media,Squarespace,225 Varick Street  12th Floor  NY  New York 10014,Business/Group/Organization,152.64,Media - Website Development
2021-12-15,Lazo  Omar Friends of,Media,Squarespace  Inc,225 Varick Street  12th Floor  New York  New York 10014,Business/Group/Organization,33.92,Media - Website Development
2021-05-03,Sesker  Everett Citizens For,Media,GoDaddy Operating Company LLC,14455 N. Hayden Rd  #219  Scottsdale  Arizona 85260,Business/Group/Organization,12.17,Media - Website Development
2021-06-01,Sesker  Everett Citizens For,Media,Wix.com Inc,500 Terry A Francois Boulevard Sixth Floor  San Francisco  California 94158,Business/Group/Organization,138,Media - Website Development
2021-08-09,Amaya  Ruben Friends of,Media,Mailchimp,675 Ponce de Leon Ave NE  Suite 500  Atlanta  Georgia 30308,Business/Group/Organization,10.59,Media - Website Development
2021-09-08,Amaya  Ruben Friends of,Media,Mailchimp,675 Ponce de Leon Ave NE  Suite 500  Atlanta  Georgia 30308,Business/Group/Organization,10.59,Media - Website Development
2021-10-08,Amaya  Ruben Friends of,Media,Mailchimp,675 Ponce de Leon Ave NE  Suite 500  Atlanta  Georgia 30308,Business/Group/Organization,10.59,Media - Website Development
2021-01-15,Amaya  Ruben Friends of,Media,GoDaddy Operating Company  LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,71.88,Media - Website Development
2021-02-18,Amaya  Ruben Friends of,Media,GoDaddy Operating Company  LLC,14455 North Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,59.97,Media - Website Development
2021-02-22,Amaya  Ruben Friends of,Media,Bluehost,10 Corporate Drive  Suite #300  Burlington  Massachusetts 01803,Business/Group/Organization,179.04,Media - Website Development
2021-02-22,Amaya  Ruben Friends of,Media,Bluehost,10 Corporate Drive  Suite #300  Burlington  Massachusetts 01803,Business/Group/Organization,35.21,Media - Website Development
2021-02-23,Amaya  Ruben Friends of,Media,Bluehost,10 Corporate Drive  Suite #300  Burlington  Massachusetts 01803,Business/Group/Organization,144,Media - Website Development
2021-10-31,The Peoples Voice  LLC PAC,Media,Facebook,1601 Willow Road  Menlo Park  California 94025,Business/Group/Organization,29.86,Online Advertising
2021-06-10,Ready  Justin Friends Of,Media,Majority Strategies,12854 Kenan Drive  Suite 145  Jacksonville  Florida 33258,Business/Group/Organization,450,Book/Brochure Advertising
2021-02-23,Amin  Mahasin El Friends of,Media,CHARLOTTE MUNAR,4804 BARTLETTS VISION DRIVE  BOWIE  Maryland 20720,Individual,125,Graphic Design
2021-03-01,Amin  Mahasin El Friends of,Media,Vision and Purpose Lifestyle Magazine,1441 McCormick Drive  Suite 1040  Largo  Maryland 20774,Business/Group/Organization,450,Book/Brochure Advertising
2022-05-30,Ali  Saqib Friends of,Media,Meta,1 Hacker Way  Menlo Park  California 94025,Business/Group/Organization,33.71,Online Advertising
2021-08-26,Ready  Justin Friends Of,Media,Nationbuilder,PO Box 811428  Los Angeles  California 90081,Business/Group/Organization,119,Media - Website Development
2021-09-02,Kramer  Ben Friends Of,Media,Mid-Atlantic Media,11459 Cronhill Dirve  Ste. A  Owings Mills  Maryland 21117,Business/Group/Organization,710,Newspaper
2021-09-15,Kramer  Ben Friends Of,Media,Mid-Atlantic Media,11459 Cronhill Dirve  Ste. A  Owings Mills  Maryland 21117,Business/Group/Organization,293.75,Newspaper
2021-09-30,Kramer  Ben Friends Of,Media,Montgomery County Democratic Central Committee,12320 Parklawn Drive  Suite 210  Rockville  Maryland 20852,Party Central,375,Book/Brochure Advertising
2021-10-26,Kramer  Ben Friends Of,Media,Capitol Media Strategies,69 Tulip Poplar Turn  Ocean View  Delaware 19970,Business/Group/Organization,375,Newspaper
2021-06-02,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-07-01,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-08-05,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-09-09,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-10-05,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-10-19,Miller  (Alfred) Al Friends of,Media,Chesapeake Publishing Corp.,29088 Airpark Drive  Easton  Maryland 21601,Business/Group/Organization,1175,Newspaper
2021-11-12,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-12-07,Miller  (Alfred) Al Friends of,Media,Local Buzz Creative,C/O Amber Hudler  240 Morrison Mill Road  Kirkwood  Pennsylvania 17536,Business/Group/Organization,125,Media - Website Development
2021-03-01,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,26,Media - Website Development
2021-03-26,Jennings  J. B. Friends Of,Media,Ronald Rowley,1238 Ramblewood Road  Baltimore  Maryland 21239,Individual,200,Media - Website Development
2021-03-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,26,Online Advertising
2021-04-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Online Advertising
2021-06-01,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Online Advertising
2021-06-15,Jennings  J. B. Friends Of,Media,GoDaddy.com,14455 N. Hayden Road  Suite 219  Scottsdale  Arizona 85260,Business/Group/Organization,19.17,Online Advertising
2021-06-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2021-07-29,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
2021-08-03,Jennings  J. B. Friends Of,Media,Anne Fullem Design,945 Nena Avenue  Havre de Grace  Maryland 21078,Business/Group/Organization,265,Graphic Design
2021-08-30,Jennings  J. B. Friends Of,Media,SquareSpace,225 Varick Street  12th floor  New York  New York 10014,Business/Group/Organization,27.56,Media - Website Development
